Rank,Player,Team,Salary,Score,Value
1,Nick Daicos,Magpies,"$889,000",157,17.7
2,Nic Newman,Blues,"$977,000",152,15.6
3,Zachary Merrett,Bombers,"$929,000",149,16
4,Lachie Whitfield,Giants,"$1,030,000",147,14.3
5,Tim Taranto,Tigers,"$778,000",145,18.6
6,Nick Blakey,Swans,"$706,000",141,20
7,Patrick Lipinski,Magpies,"$514,000",139,27
7,Lachie Neale,Lions,"$893,000",139,15.6
9,Josh Daicos,Magpies,"$808,000",137,17
10,Will Ashcroft,Lions,"$723,000",136,18.8
11,Kyle Langford,Bombers,"$630,000",129,20.5
12,Noah Anderson,Suns,"$871,000",126,14.5
13,Matthew Roberts,Swans,"$778,000",125,16.1
14,Andrew Brayshaw,Dockers,"$929,000",124,13.3
15,Daniel Rioli,Tigers,"$796,000",123,15.5
15,George Hewett,Blues,"$773,000",123,15.9
17,Sam Walsh,Blues,"$879,000",122,13.9
17,Matt Rowell,Suns,"$792,000",122,15.4
19,Jeremy Cameron,Cats,"$747,000",121,16.2
19,Jy Simpkin,Kangaroos,"$712,000",121,17
21,Nicholas Martin,Bombers,"$919,000",120,13.1
21,Jordon Sweet,Power,"$687,000",120,17.5
23,Mattaes Phillipou,Saints,"$611,000",119,19.5
24,Patrick Cripps,Blues,"$855,000",117,13.7
24,Massimo D'Ambrosio,Hawks,"$725,000",117,16.1
26,Rhys Stanley,Cats,"$598,000",115,19.2
27,Shaun Mannagh,Cats,"$607,000",112,18.5
28,Josh Dunkley,Lions,"$861,000",111,12.9
28,Sam Flanders,Suns,"$862,000",111,12.9
30,Rowan Marshall,Saints,"$1,088,000",110,10.1
30,Jack Sinclair,Saints,"$938,000",110,11.7
30,Dayne Zorko,Lions,"$927,000",110,11.9
33,Jarrod Witts,Suns,"$844,000",109,12.9
33,Tristan Xerri,Kangaroos,"$1,136,000",109,9.6
35,Riley Thilthorpe,Crows,"$571,000",107,18.7
35,Callum Mills,Swans,"$628,000",107,17
35,Patrick Dangerfield,Cats,"$667,000",107,16
38,Max Gawn,Demons,"$889,000",106,11.9
39,Ed Richards,Bulldogs,"$780,000",105,13.5
40,Christian Salem,Demons,"$684,000",103,15.1
40,Nick Vlastuin,Tigers,"$734,000",103,14
40,James Sicily,Hawks,"$772,000",103,13.3
40,Jai Newcombe,Hawks,"$782,000",103,13.2
40,Blake Acres,Blues,"$715,000",103,14.4
45,Dylan Moore,Hawks,"$877,000",102,11.6
45,Dyson Heppell,Bombers,"$609,000",102,16.7
47,Hugh McCluggage,Lions,"$817,000",101,12.4
47,Jordan Dawson,Crows,"$904,000",101,11.2
47,Dion Prestia,Tigers,"$665,000",101,15.2
50,Darcy Parish,Bombers,"$805,000",100,12.4
50,Tom Atkins,Cats,"$607,000",100,16.5
50,Jayden Short,Tigers,"$740,000",100,13.5
50,Mason Redman,Bombers,"$751,000",100,13.3
54,Zach Guthrie,Cats,"$632,000",99,15.7
54,Archie Roberts,Bombers,"$466,000",99,21.2
56,Max Holmes,Cats,"$740,000",98,13.2
56,Luke Davies-Uniacke,Kangaroos,"$842,000",98,11.6
56,James Rowbottom,Swans,"$672,000",98,14.6
56,Oliver Wines,Power,"$813,000",98,12.1
60,Connor MacDonald,Hawks,"$771,000",97,12.6
60,Bailey Dale,Bulldogs,"$766,000",97,12.7
62,Touk Miller,Suns,"$761,000",96,12.6
62,Andrew McGrath,Bombers,"$686,000",96,14
